Set ID,target
OP753345013050000814,Normal
OP753345013050000816,Normal
OP753345013050000818,Normal
OP753345013050000820,AbNormal
OP753345013050000821,Normal
OP753345013050000826,Normal
OP753345013050000827,Normal
OP753345013050000828,Normal
OP753345013050000829,AbNormal
OP753345013050000830,AbNormal
OP753345013050000831,Normal
OP753345013050000832,Normal
OP753345013050000833,Normal
OP753345013050000835,Normal
OP753345013050000837,Normal
OP753345013050000838,Normal
OP753345013050000842,Normal
OP753345013050000843,Normal
OP753345013050000844,AbNormal
OP753345013050000845,Normal
OP753345013050000846,Normal
OP753345013050000847,Normal
OP753345013050000848,Normal
OP753345013050000849,Normal
OP753345013050000850,Normal
OP753345013050000851,Normal
OP753345013050000852,Normal
OP753345013050000804,AbNormal
OP753345013050000853,Normal
OP753345013050000854,Normal
OP753345013050000857,Normal
OP753345013050000858,Normal
OP753345013050000859,Normal
OP753345013050000955,AbNormal
OP753345013050000956,AbNormal
OP753345013050000957,AbNormal
OP753345013050000959,Normal
OP753345013050000960,Normal
OP753345013050000962,Normal
OP753345013050000963,Normal
OP753345013050000964,Normal
OP753345013050000965,Normal
OP753345013050000966,AbNormal
OP753345013050000968,Normal
OP753345013050000970,Normal
OP753345013050000971,Normal
OP753345013050000972,Normal
OP753345013050000974,Normal
OP753345013050000975,Normal
OP753345013050000976,Normal
OP753345013050000977,Normal
OP753345013050000978,Normal
OP753345013050000980,Normal
OP753345013050000982,AbNormal
OP753345013050000983,Normal
OP753345013050000986,AbNormal
OP753345013050000987,Normal
OP753345013050000990,Normal
OP753345013050000991,Normal
OP753345013050000992,AbNormal
OP753345013050000993,Normal
OP753345013050000996,Normal
OP753345013050000997,Normal
OP753345013050000998,Normal
OP753345013050000999,Normal
OP753345013050001000,Normal
OP753345013050001001,Normal
OP753345013050001002,Normal
OP753345013050001003,Normal
OP753345013050001004,Normal
OP753345013050001005,Normal
OP753345013050001006,Normal
OP753345013050001010,Normal
OP753345013050001011,Normal
OP753345013050001013,Normal
OP753345013050001015,Normal
OP753345013050001016,Normal
OP753345013050001018,Normal
OP753345013050001019,Normal
OP753345013050001020,Normal
OP753345013050001021,Normal
OP753345013050001022,Normal
OP753345013050001024,Normal
OP753345013050001025,Normal
OP753345013050001026,Normal
OP753345013050001031,Normal
OP753345013050001032,Normal
OP753345013050001034,Normal
OP753345013050001035,Normal
OP753345013050001036,Normal
OP753345013050001037,Normal
OP753345013050001038,Normal
OP753345013050001039,Normal
OP753345013050001042,Normal
OP753345013050001043,Normal
OP753345013050001044,Normal
OP753345013050001047,Normal
OP753345013050001048,Normal
OP753345013050001050,Normal
OP753345013050001051,AbNormal
OP753345013050001053,Normal
OP753345013050001054,Normal
OP753345013050001055,Normal
OP753345013050001057,Normal
OP753345013050001058,Normal
OP753345013050001060,Normal
OP753345013050001061,Normal
OP753345013050001062,Normal
OP753345013050001064,Normal
OP753345013050001067,Normal
OP753345013050001068,Normal
OP753345013050001069,Normal
OP753345013050001070,Normal
OP753345013050001071,Normal
OP753345013050001072,Normal
OP753345013050001073,Normal
OP753345013050001074,Normal
OP753345013050001078,AbNormal
OP753345013050001079,AbNormal
OP753345013050001083,Normal
OP753345013050001080,Normal
OP753345013050001084,Normal
OP753345013050001081,Normal
OP753345013050000940,Normal
OP753345013050000941,Normal
OP753345013050000942,Normal
OP753345013050000943,Normal
OP753345013050000944,Normal
OP753345013050000945,Normal
OP753345013050000946,Normal
OP753345013050000947,AbNormal
OP753345013050000948,Normal
OP753345013050000949,Normal
OP753345013050000950,Normal
OP753345013050000951,Normal
OP753345013050000953,Normal
OP753345013050001085,Normal
OP753345013050001087,Normal
OP753345013050001088,Normal
OP753345013050001089,Normal
OP753345013050001091,Normal
OP753345013050001092,Normal
OP753345013050001093,Normal
OP753345013050001096,Normal
OP753345013050001097,AbNormal
OP753345013050001098,Normal
OP753345013050001100,Normal
OP753345013050001102,Normal
OP753345013050001103,Normal
OP753345013050001104,Normal
OP753345013050001105,Normal
OP753345013050001106,Normal
OP753345013050001107,Normal
OP753345013050001108,Normal
OP753345013050001110,Normal
OP753345013050001111,Normal
OP753345013050001112,Normal
OP753345013050001114,Normal
OP753345013050001115,Normal
OP753345013050001125,Normal
OP753345013050001118,Normal
OP753345013050001126,Normal
OP753345013050001127,Normal
OP753345013050001121,Normal
OP753345013050001116,Normal
OP753345013050001119,Normal
OP753345013050001117,Normal
OP753345013050001122,Normal
OP753345013050001123,Normal
OP753345013050001128,Normal
OP753345013050001129,Normal
OP753345013050001131,AbNormal
OP753345013050001132,Normal
OP753345013050001133,Normal
OP753345013050001134,Normal
OP753345013050001135,Normal
OP753345013050001136,Normal
OP753345013050001137,Normal
OP753345013050001138,Normal
OP753345013050001139,Normal
OP753345013050001140,Normal
OP753345013050001142,Normal
OP753345013050001143,Normal
OP753345013050001144,Normal
OP753345013050001145,Normal
OP753345013050001146,Normal
OP753345013050001148,Normal
OP753345013050001149,Normal
OP753345013050001150,Normal
OP753345013050001151,Normal
OP753345013050001152,Normal
OP753345013050001153,Normal
OP753345013050001156,Normal
OP753345013050001157,Normal
OP753345013050001158,Normal
OP753345013050001159,Normal
OP753345013050001160,Normal
OP753345013050001163,Normal
OP753345013050001164,Normal
OP753345013050001166,Normal
OP753345013050001167,Normal
OP753345013050001170,Normal
OP753345013050001172,Normal
OP753345013050001168,Normal
OP753345013050001169,Normal
OP753345013050001120,Normal
OP753345013050001367,Normal
OP753345013050001368,Normal
OP753345013050001369,Normal
OP753345013050001370,Normal
OP753345013050001373,Normal
OP753345013050001374,Normal
OP753345013050001375,Normal
OP753345013050001376,Normal
OP753345013050001378,Normal
OP753345013050001380,Normal
OP753345013050001381,Normal
OP753345013050001382,Normal
OP753345013050001383,Normal
OP753345013050001386,Normal
OP753345013050001388,Normal
OP753345013050001389,Normal
OP753345013050001356,Normal
OP753345013050001357,Normal
OP753345013050001359,Normal
OP753345013050001361,Normal
OP753345013050001363,Normal
OP753345013050001364,Normal
OP753345013050001365,Normal
OP753345013050001366,Normal
OP753345013050001325,Normal
OP753345013050001326,Normal
OP753345013050001327,Normal
OP753345013050001328,Normal
OP753345013050001329,Normal
OP753345013050001330,Normal
OP753345013050001332,Normal
OP753345013050001333,Normal
OP753345013050001334,Normal
OP753345013050001335,Normal
OP753345013050001336,Normal
OP753345013050001337,Normal
OP753345013050001338,Normal
OP753345013050001339,AbNormal
OP753345013050001340,Normal
OP753345013050001341,Normal
OP753345013050001343,Normal
OP753345013050001344,Normal
OP753345013050001346,Normal
OP753345013050001348,Normal
OP753345013050001349,Normal
OP753345013050001351,Normal
OP753345013050001354,Normal
OP753345013050001392,Normal
OP753345013050001391,Normal
OP753345013050001393,Normal
OP753345013050001394,Normal
OP753345013050001395,Normal
OP753345013050001396,Normal
OP753345013050001397,Normal
OP753345013050001398,AbNormal
OP753345013050001399,Normal
OP753345013050001400,Normal
OP753345013050001401,Normal
OP753345013050001402,Normal
OP753345013050001403,Normal
OP753345013050001406,Normal
OP753345013050001407,Normal
OP753345013050001408,Normal
OP753345013050001409,Normal
OP753345013050001410,Normal
OP753345013050001411,Normal
OP753345013050001412,Normal
OP753345013050001413,Normal
OP753345013050001414,Normal
OP753345013050001415,AbNormal
OP753345013050001416,Normal
OP753345013050001417,Normal
OP753345013050001418,Normal
OP753345013050001420,Normal
OP753345013050001421,Normal
OP753345013050001427,Normal
OP753345013050001426,Normal
OP753345013050001429,Normal
OP753345013050001428,Normal
OP753345013050001424,Normal
OP753345013050001425,Normal
OP753345013050001430,Normal
OP753345013050001432,Normal
OP753345013050001433,Normal
OP753345013050001435,AbNormal
OP753345013050001436,Normal
OP753345013050001437,Normal
OP753345013050001438,Normal
OP753345013050001439,Normal
OP753345013050001442,Normal
OP753345013050001443,Normal
OP753345013050001445,Normal
OP753345013050001446,Normal
OP753345013050001447,Normal
OP753345013050001448,Normal
OP753345013050001449,AbNormal
OP753345013050001450,AbNormal
OP753345013050001451,Normal
OP753345013050001452,Normal
OP753345013050001453,Normal
OP753345013050001455,Normal
OP753345013050001456,Normal
OP753345013050001457,Normal
OP753345013050001458,Normal
OP753345013050001460,Normal
OP753345013050001461,Normal
OP753345013050001462,Normal
OP753345013050001463,Normal
OP753345013050001464,Normal
OP753345013050001466,Normal
OP753345013050001467,Normal
OP753345013050001468,Normal
OP753345013050001469,Normal
OP753345013050001470,Normal
OP753345013050001471,Normal
OP753345013050001473,AbNormal
OP753345013050001474,Normal
OP753345013050001476,Normal
OP753345013050001477,Normal
OP753345013050001478,Normal
OP753345013050001479,AbNormal
OP753345013050001480,Normal
OP753345013050001481,Normal
OP753345013050001483,Normal
OP753345013050001484,Normal
OP753345013050001485,Normal
OP753345013050001486,Normal
OP753345013050001487,Normal
OP753345013050001488,Normal
OP753345013050001489,Normal
OP753345013050001491,Normal
OP753345013050001492,Normal
OP753345013050001493,Normal
OP753345013050001496,Normal
OP753345013050001497,Normal
OP753345013050001498,Normal
OP753345013050001500,Normal
OP753345013050001501,Normal
OP753345013050001502,Normal
OP753345013050001503,Normal
OP753345013050001505,Normal
OP753345013050001506,Normal
OP753345013050001509,Normal
OP753345013050001510,AbNormal
OP753345013050001511,Normal
OP753345013050001514,Normal
OP753345013050001515,Normal
OP753345013050001517,Normal
OP753345013050001518,Normal
OP753345013050001519,Normal
OP753345013050001521,Normal
OP753345013050001522,Normal
OP753345013050001523,Normal
OP753345013050001525,Normal
OP753345013050001526,Normal
OP753345013050001527,Normal
OP753345013050001529,Normal
OP753345013050001530,Normal
OP753345013050001531,Normal
OP753345013050001532,Normal
OP753345013050001533,Normal
OP753345013050001534,Normal
OP753345013050001536,Normal
OP753345013050001537,Normal
OP753345013050001538,Normal
OP753345013050001539,Normal
OP753345013050001541,Normal
OP753345013050001542,Normal
OP753345013050001543,Normal
OP753345013050001545,AbNormal
OP753345013050001546,Normal
OP753345013050001547,AbNormal
OP753345013050001548,Normal
OP753345013050001550,Normal
OP753345013050001551,Normal
OP753345013050001552,Normal
OP753345013050001553,Normal
OP753345013050001554,Normal
OP753345013050001555,Normal
OP753345013050001556,Normal
OP753345013050001557,Normal
OP753345013050001558,Normal
OP753345013050001559,Normal
OP753345013050001560,Normal
OP753345013050001562,Normal
OP753345013050001563,Normal
OP753345013050001564,Normal
OP753345013050001565,Normal
OP753345013050001566,Normal
OP753345013050001568,Normal
OP753345013050001570,Normal
OP753345013050001571,Normal
OP753345013050001572,Normal
OP753345013050001573,Normal
OP753345013050001574,Normal
OP753345013050001575,AbNormal
OP753345013050001576,Normal
OP753345013050001577,Normal
OP753345013050001578,Normal
OP753345013050001579,Normal
OP753345013050001581,Normal
OP753345013050001584,Normal
OP753345013050001585,Normal
OP753345013050001588,Normal
OP753345013050001591,Normal
OP753345013050001592,Normal
OP753345013050001593,Normal
OP753345013050001594,Normal
OP753345013050001595,Normal
OP753345013050001597,Normal
OP753345013050001598,Normal
OP753345013050001599,Normal
OP753345013050001600,Normal
OP753345013050001602,Normal
OP753345013050001603,Normal
OP753345013050001604,Normal
OP753345013050001605,Normal
OP753345013050001608,Normal
OP753345013050001611,Normal
OP753345013050001613,Normal
OP753345013050001616,Normal
OP753345013050001617,Normal
OP753345013050001618,Normal
OP753345013050001619,Normal
OP753345013050001621,Normal
OP753345013050001622,Normal
OP753345013050001623,Normal
OP753345013050001624,Normal
OP753345013050001625,Normal
OP753345013050001627,Normal
OP753345013050001628,AbNormal
OP753345013050001629,Normal
OP753345013050001632,Normal
OP753345013050001633,Normal
OP753345013050001778,Normal
OP753345013050001779,Normal
OP753345013050001780,Normal
OP753345013050001781,Normal
OP753345013050001782,Normal
OP753345013050001783,Normal
OP753345013050001784,Normal
OP753345013050001785,Normal
OP753345013050001787,Normal
OP753345013050001789,Normal
OP753345013050001792,Normal
OP753345013050001794,Normal
OP753345013050001795,Normal
OP753345013050001796,Normal
OP753345013050001798,Normal
OP753345013050001799,Normal
OP753345013050001800,Normal
OP753345013050001805,Normal
OP753345013050001807,Normal
OP753345013050001809,Normal
OP753345013050001810,Normal
OP753345013050001811,Normal
OP753345013050001812,Normal
OP753345013050001815,Normal
OP753345013050001817,Normal
OP753345013050001820,Normal
OP753345013050001821,Normal
OP753345013050001822,Normal
OP753345013050001823,Normal
OP753345013050001824,Normal
OP753345013050001825,Normal
OP753345013050001826,Normal
OP753345013050001827,Normal
OP753345013050001828,Normal
OP753345013050001829,Normal
OP753345013050001830,Normal
OP753345013050001832,Normal
OP753345013050001833,Normal
OP753345013050001836,Normal
OP753345013050001839,Normal
OP753345013050001840,Normal
OP753345013050001842,Normal
OP753345013050001843,Normal
OP753345013050001846,Normal
OP753345013050001847,Normal
OP753345013050001848,Normal
OP753345013050001849,Normal
OP753345013050001850,AbNormal
OP753345013050001852,Normal
OP753345013050001854,Normal
OP753345013050001855,Normal
OP753345013050001858,Normal
OP753345013050001859,AbNormal
OP753345013050001860,Normal
OP753345013050001861,AbNormal
OP753345013050001862,Normal
OP753345013050001863,Normal
OP753345013050001864,Normal
OP753345013050001867,Normal
OP753345013050001868,Normal
OP753345013050001869,Normal
OP753345013050001871,Normal
OP753345013050001872,Normal
OP753345013050001873,Normal
OP753345013050001874,Normal
OP753345013050001875,Normal
OP753345013050001877,Normal
OP753345013050001878,Normal
OP753345013050001880,Normal
OP753345013050001882,Normal
OP753345013050001883,Normal
OP753345013050001884,Normal
OP753345013050001885,Normal
OP753345013050001887,Normal
OP753345013050001888,Normal
OP753345013050001889,Normal
OP753345013050001890,Normal
OP753345013050001891,Normal
OP753345013050001894,AbNormal
OP753345013050001895,Normal
OP753345013050001896,Normal
OP753345013050001897,Normal
OP753345013050001898,Normal
OP753345013050001899,Normal
OP753345013050001900,Normal
OP753345013050001903,Normal
OP753345013050001904,Normal
OP753345013050001906,Normal
OP753345013050001907,Normal
OP753345013050001908,AbNormal
OP753345013050001911,Normal
OP753345013050001914,Normal
OP753345013050001916,Normal
OP753345013050001917,Normal
